AccountID,AccountName,Region,ClusterName,ClusterVersion,InstanceID,Current_AMI_ID,Current_AMI_Publication_Date,AMI_Age(in days),OS_Version,InstanceType,NodeState,NodeUptime,Latest_AMI_ID,New_AMI_Publication_Date,PatchPendingStatus,NodeReadinessStatus,Cluster_Compliance,Audit_Timestamp
212055980189,global-mmk8s,us-east-2,modmed-ops-global-b,1.34,i-029d5a47f5729bb56,ami-06166778931250224,10/02/26,14,Amazon Linux 2023,m7i-flex.4xlarge,running,2 days 0 hours,ami-06166778931250224,10/02/26,0,N/A,1,25/02/26
212055980189,global-mmk8s,us-east-2,modmed-ops-global-b,1.34,i-08ad256c3e7bd5679,ami-06166778931250224,10/02/26,14,Amazon Linux 2023,m7i-flex.4xlarge,running,2 days 0 hours,ami-06166778931250224,10/02/26,0,N/A,1,25/02/26
212055980189,global-mmk8s,us-east-2,modmed-ops-global-b,1.34,i-06afaa59f4e23382f,ami-06166778931250224,10/02/26,14,Amazon Linux 2023,m7i-flex.4xlarge,running,2 days 0 hours,ami-06166778931250224,10/02/26,0,N/A,1,25/02/26
212055980189,global-mmk8s,us-east-2,modmed-ops-global-b,1.34,i-07a3b7d7a948e6fcc,ami-06166778931250224,10/02/26,14,Amazon Linux 2023,m7i-flex.4xlarge,running,2 days 0 hours,ami-06166778931250224,10/02/26,0,N/A,1,25/02/26
983058792752,mmi-sandbox-mmk8s-performance,us-east-2,modmed-perf-global,1.34,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1,25/02/26
983058792752,mmi-sandbox-mmk8s-performance,us-east-2,modmed-perf-global-b,1.34,i-04131f28e3576395c,ami-06166778931250224,10/02/26,14,Amazon Linux 2023,m7i-flex.4xlarge,running,0 days 0 hours,ami-06166778931250224,10/02/26,0,N/A,1,25/02/26
983058792752,mmi-sandbox-mmk8s-performance,us-east-2,modmed-perf-global-b,1.34,i-0c98010845f712249,ami-06166778931250224,10/02/26,14,Amazon Linux 2023,m7i-flex.4xlarge,running,0 days 0 hours,ami-06166778931250224,10/02/26,0,N/A,1,25/02/26
983058792752,mmi-sandbox-mmk8s-performance,us-east-2,modmed-perf-global-b,1.34,i-0bca03489731f7b14,ami-06166778931250224,10/02/26,14,Amazon Linux 2023,m7i-flex.4xlarge,running,0 days 0 hours,ami-06166778931250224,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0e2cd5cb1b73b9150,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m7i-flex.2xlarge,running,6 days 0 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-055fae84e52b62cc8,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m7i-flex.2xlarge,running,6 days 1 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-06b089ebe8b099d60,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m5a.4xlarge,running,5 days 23 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-02786ad35fa3b65c2,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m6a.xlarge,running,3 days 15 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-056309d9803f471ae,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m5a.2xlarge,running,1 days 17 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-067e6378942ab8a7d,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m6a.xlarge,running,0 days 11 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-08066a9b34abefcf4,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,r6i.large,running,0 days 8 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-0b3b24ea94f1a551b,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,m7i-flex.2xlarge,running,6 days 0 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
874823723256,mmi-production-ema-primary,us-east-1,modmed-dbstage-global-eks,1.34,i-07fd63aa8a744f29d,ami-09587d1f61083936d,10/02/26,14,Amazon Linux 2023,r4.4xlarge,running,1 days 15 hours,ami-09587d1f61083936d,10/02/26,0,N/A,1,25/02/26
