AccountID,AccountName,Region,ClusterName,ClusterVersion,InstanceID,Current_AMI_ID,Current_AMI_Publication_Date,AMI_Age(in days),OS_Version,InstanceType,NodeState,NodeUptime,Latest_AMI_ID,New_AMI_Publication_Date,PatchPendingStatus,NodeReadinessStatus,Cluster_Compliance
212055980189,212055980189,us-east-2,modmed-ops-global-b,1.34,i-0d36655e3d7ac1158,ami-0341c526b47eb5b86,2025-11-20,84,Amazon Linux 2023,m7i-flex.4xlarge,running,71 days 19 hours,ami-06166778931250224,2026-02-10,1,N/A,1
212055980189,212055980189,us-east-2,modmed-ops-global-b,1.34,i-08346a876cb415c08,ami-0341c526b47eb5b86,2025-11-20,84,Amazon Linux 2023,m7i-flex.4xlarge,running,71 days 19 hours,ami-06166778931250224,2026-02-10,1,N/A,1
212055980189,212055980189,us-east-2,modmed-ops-global-b,1.34,i-0e59bb8ddeab07b8f,ami-0341c526b47eb5b86,2025-11-20,84,Amazon Linux 2023,m7i-flex.4xlarge,running,71 days 19 hours,ami-06166778931250224,2026-02-10,1,N/A,1
212055980189,212055980189,us-east-2,modmed-ops-global-b,1.34,i-011d5493fe3346f52,ami-0341c526b47eb5b86,2025-11-20,84,Amazon Linux 2023,m7i-flex.4xlarge,running,71 days 19 hours,ami-06166778931250224,2026-02-10,1,N/A,1
212055980189,212055980189,us-east-2,modmed-ops-global-b,1.34,i-0015f3d5707a62816,ami-0341c526b47eb5b86,2025-11-20,84,Amazon Linux 2023,m7i-flex.4xlarge,running,71 days 19 hours,ami-06166778931250224,2026-02-10,1,N/A,1
212055980189,212055980189,us-east-2,modmed-ops-global-b,1.34,i-04b65f87e3c4b759b,ami-0b09270f6fa8219ef,2025-12-17,57,Amazon Linux 2023,m7i-flex.4xlarge,running,51 days 15 hours,ami-06166778931250224,2026-02-10,0,N/A,1
983058792752,983058792752,us-east-2,modmed-perf-global,1.34,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1
983058792752,983058792752,us-east-2,modmed-perf-global-b,1.34,i-03217b53c4499c3a8,ami-0341c526b47eb5b86,2025-11-20,84,Amazon Linux 2023,m7i-flex.4xlarge,running,72 days 13 hours,ami-06166778931250224,2026-02-10,1,N/A,1
983058792752,983058792752,us-east-2,modmed-perf-global-b,1.34,i-0d2456d390091b9b9,ami-0341c526b47eb5b86,2025-11-20,84,Amazon Linux 2023,m7i-flex.4xlarge,running,72 days 13 hours,ami-06166778931250224,2026-02-10,1,N/A,1
983058792752,983058792752,us-east-2,modmed-perf-global-b,1.34,i-06d48e899087c554d,ami-0341c526b47eb5b86,2025-11-20,84,Amazon Linux 2023,m7i-flex.4xlarge,running,72 days 13 hours,ami-06166778931250224,2026-02-10,1,N/A,1
874823723256,m2iam,us-east-1,modmed-dbstage-global-eks,1.34,i-0dbff87e99832bf8d,ami-02382489c95ee1382,2025-11-20,84,Amazon Linux 2023,m7i-flex.2xlarge,running,63 days 16 hours,ami-09587d1f61083936d,2026-02-10,1,N/A,1
874823723256,m2iam,us-east-1,modmed-dbstage-global-eks,1.34,i-0f6bf5969ddeee6e2,ami-02382489c95ee1382,2025-11-20,84,Amazon Linux 2023,m7i-flex.2xlarge,running,63 days 16 hours,ami-09587d1f61083936d,2026-02-10,1,N/A,1
874823723256,m2iam,us-east-1,modmed-dbstage-global-eks,1.34,i-0cd04cb7f8157bfec,ami-02382489c95ee1382,2025-11-20,84,Amazon Linux 2023,m5.4xlarge,running,63 days 15 hours,ami-09587d1f61083936d,2026-02-10,1,N/A,1
874823723256,m2iam,us-east-1,modmed-dbstage-global-eks,1.34,i-0f0abbb5e833b1b7c,ami-02382489c95ee1382,2025-11-20,84,Amazon Linux 2023,m5a.4xlarge,running,63 days 10 hours,ami-09587d1f61083936d,2026-02-10,1,N/A,1
874823723256,m2iam,us-east-1,modmed-dbstage-global-eks,1.34,i-0da4be54d24f5f7a2,ami-02382489c95ee1382,2025-11-20,84,Amazon Linux 2023,m5.2xlarge,running,63 days 10 hours,ami-09587d1f61083936d,2026-02-10,1,N/A,1
